Date,ret_trade,prob
2015-08-03,-0.031430389116245516,0.0
2015-08-04,0.007947012087916372,0.16666666666666666
2015-08-05,-0.012483609114594896,0.16666666666666666
2015-08-06,-0.010645365951745145,0.16666666666666666
2015-08-07,-0.020847307890260125,0.16666666666666666
2015-08-10,0.022664829271670017,0.16666666666666666
2015-08-11,-0.026863704699910618,0.16666666666666666
2015-08-12,-0.0034506688422815124,0.16666666666666666
2015-08-13,-0.02423818822480328,0.3333333333333333
2015-08-14,-0.007097259076420892,0.3333333333333333
2015-08-17,-0.00714792204656467,0.3333333333333333
2015-08-18,0.011519067203553002,0.3333333333333333
2015-08-19,-0.04412810513468424,0.3333333333333333
2015-08-20,-0.004467640971949627,0.3333333333333333
2015-08-21,-0.010471229956700912,0.3333333333333333
2015-08-24,-0.05593346914002073,0.3333333333333333
2015-08-25,0.01921535432475663,0.3333333333333333
2015-08-26,0.00314225584962724,0.3333333333333333
2015-08-27,0.09240401794849351,0.3333333333333333
2015-08-28,0.06666668945458376,0.3333333333333333
2015-08-31,0.06787635894583355,0.3333333333333333
2015-09-01,-0.0679672687458367,0.3333333333333333
2015-09-02,0.01890612593098351,0.3333333333333333
2015-09-03,0.01656726292061217,0.3333333333333333
2015-09-04,-0.016949167294367573,0.3333333333333333
2015-09-08,-0.003978744446017091,0.3333333333333333
2015-09-09,-0.03395474123426023,0.3333333333333333
2015-09-10,0.028945559591235792,0.3333333333333333
2015-09-11,-0.018754231809924304,0.3333333333333333
2015-09-14,-0.01774739126127045,0.3333333333333333
2015-09-15,0.01250864122355555,0.3333333333333333
2015-09-16,0.05422100057652468,0.16666666666666666
2015-09-17,-0.008463549306422347,0.16666666666666666
2015-09-18,-0.040052506566764845,0.16666666666666666
2015-09-21,0.029411785809965396,0.16666666666666666
2015-09-22,-0.008637881248729107,0.16666666666666666
2015-09-23,-0.032171614842905205,0.16666666666666666
2015-09-24,0.010387851562569717,0.16666666666666666
2015-09-25,0.00891022022490251,0.16666666666666666
2015-09-28,-0.023097836033974417,0.16666666666666666
2015-09-29,0.015994404757017744,0.16666666666666666
2015-09-30,0.004791283377377997,0.16666666666666666
2015-10-01,-0.006812014944881817,0.16666666666666666
2015-10-02,0.013031586766244718,0.16666666666666666
2015-10-05,0.015572074144075687,0.3333333333333333
2015-10-06,0.04933331807454433,0.3333333333333333
2015-10-07,-0.010800513263404476,0.3333333333333333
2015-10-08,0.03018633461241249,0.3333333333333333
2015-10-09,-0.003117278151822056,0.3333333333333333
2015-10-12,-0.042526539164166155,0.5
2015-10-13,-0.016329196155976278,0.5
2015-10-14,-0.0006640258036653135,0.5
2015-10-15,0.005315609481208128,0.5
2015-10-16,0.005948456834576676,0.5
2015-10-19,-0.025624200819996945,0.5
2015-10-20,-0.006743114091988245,0.5
2015-10-21,-0.020366547615995434,0.5
2015-10-22,0.005544000139581451,0.5
2015-10-23,-0.016540300987759493,0.5
2015-10-26,-0.018220057501146192,0.5
2015-10-27,-0.013561779511318539,0.5
2015-10-28,0.0629522362352084,0.5
2015-10-29,-0.00408437492554492,0.5
2015-10-30,0.012303506751042859,0.5
2015-11-02,-0.004051344896467746,0.5
2015-11-03,0.03593218528618247,0.5
2015-11-04,-0.028141319307330326,0.6666666666666666
2015-11-05,-0.024915880789814437,0.8333333333333334
2015-11-06,-0.017265193915979138,0.8333333333333334
2015-11-09,-0.010541083861953515,0.8333333333333334
2015-11-10,0.0007102435323880218,0.6666666666666666
2015-11-11,-0.023420860193918758,0.5
2015-11-12,-0.02979650004304013,0.5
2015-11-13,-0.0217228429637768,0.5
2015-11-16,0.02526798722076462,0.5
2015-11-17,-0.028379395421779363,0.5
2015-11-18,0.0030745550460660187,0.3333333333333333
2015-11-19,-0.006896563315898496,0.3333333333333333
2015-11-20,-0.0023147942039266622,0.3333333333333333
2015-11-23,0.006960568481337415,0.3333333333333333
2015-11-24,0.023041415246775943,0.3333333333333333
2015-11-25,0.005255304061736243,0.3333333333333333
2015-11-27,-0.02688578051688295,0.3333333333333333
2015-11-30,-0.007674553326533884,0.3333333333333333
2015-12-01,0.0015467520199012874,0.3333333333333333
2015-12-02,-0.036293457447971855,0.3333333333333333
2015-12-03,0.023237253699079696,0.3333333333333333
2015-12-04,-0.0242756780347827,0.3333333333333333
2015-12-07,-0.05939002960293849,0.3333333333333333
2015-12-08,-0.003412965950654212,0.3333333333333333
2015-12-09,-0.010273962536277215,0.3333333333333333
2015-12-10,-0.016436031761313474,0.3333333333333333
2015-12-11,-0.026385241315251884,0.3333333333333333
2015-12-14,0.008130095308852558,0.3333333333333333
2015-12-15,0.0215053561289984,0.3333333333333333
2015-12-16,-0.035964900099265784,0.3333333333333333
2015-12-17,-0.02274795315801581,0.3333333333333333
2015-12-18,-0.007448782626717443,0.3333333333333333
2015-12-21,0.0,0.5
2015-12-22,0.010319006747290693,0.5
2015-12-23,0.04549672704655672,0.5
2015-12-24,0.0035523944085211756,0.5
2015-12-28,-0.03274335215166224,0.5
2015-12-29,0.03019212392425885,0.5
2015-12-30,-0.0293072750442408,0.5
2015-12-31,0.0064043634830524,0.5
2016-01-04,-0.0018182234330610392,0.5
2016-01-05,-0.02914387141759789,0.5
2016-01-06,-0.05159476534780483,0.5
2016-01-07,-0.020771517831682185,0.5
2016-01-08,-0.010100952691779574,0.5
2016-01-11,-0.0561224673500359,0.3333333333333333
2016-01-12,-0.008648640400654606,0.3333333333333333
2016-01-13,-0.008724091934619316,0.3333333333333333
2016-01-14,0.015401472750094625,0.16666666666666666
